yearmonth,article_count,prominence,dominant_topic,dominant_topic_share,example_titles
2024-11,291,216.0,How to Watch,0.617,"How to Watch USWNT vs England: Live Stream Women's Soccer | Orlando City vies for MLS Cup after Orlando Pride NWSL title run | How to watch UNC vs. Penn State women's soccer today: Channel, time, live stream for NCAA quarterfinal game"
2022-10,236,211.0,How to Watch,0.479,"Portland Thorns vs. Gotham FC score updates, live stream, odds, time, tv channel, how to watch online | Angel City FC comes close, but unable to stay above playoff line in first season | Reign take down the Pride to win their third NWSL Shield"
2021-10,174,155.0,Coaching Updates & Controversies,0.575,Portland Thorns players tape over controversial sponsor’s logo | USSF president 'heartbroken' over NWSL abuse | Marla Messing named interim CEO of the NWSL
2019-07,171,151.0,How to Watch,0.427,"US women's soccer staffers stoke controversy after appearing at England's hotel before match | U.S. women's soccer prepares for England in semifinals | US women's soccer takes on England in Women's World Cup semifinal: How to watch, key players & more"
2020-06,159,132.0,Schedules & Power Rankings,0.472,"NWSL sets Challenge Cup schedule, marking first return of U.S. team sports | NWSL Challenge Cup odds: North Carolina Courage open as favorites for Utah tournament | The NWSL announces seeding for 2020 Challenge Cup"
2016-08,127,122.0,How to Watch,0.425,"Orlando Pride suffer frustrating loss at Boston | Olympic Women's Soccer: How to watch USA-New Zealand on TV, stream, live blog | U.S. women's soccer beats New Zealand in debut at Rio Games"
2023-03,136,110.0,Schedules & Power Rankings,0.529,Washington Spirit sign youngest ever player to NWSL contract in 15-year-old Chloe Ricketts | Spirit make NWSL history by signing 15-year-old | 15-Year-Old Chloe Ricketts Youngest to Sign NWSL Contract After Deal with Spirit
2015-07,116,98.0,Coaching Updates & Controversies,0.397,"Why the U.S. has such an amazing women's soccer team | U.S. girls, women's soccer thriving — but pro team owner says media lagging | Gophers women's soccer finding homegrown players do the trick"
2021-07,119,66.0,How to Watch,0.427,"Olivia Moultrie, 15, becomes NWSL’s youngest player after suing the league to play | NWSL picks, odds, Paramount+ streaming: Racing Louisville vs. Portland Thorns predictions from soccer insider | Orlando Pride fall from top-ranked standing in loss to North Carolina Courage"
2015-10,95,61.0,How to Watch,0.495,"FC Kansas City wins NWSL championship, 1-0 over Seattle | NWSL final: Seattle Reign hope ruthlessness can kill off FC Kansas City | Seattle Reign vs. FC Kansas City, 2015 NWSL Championship: Preview and how to watch"
2014-09,64,58.0,How to Watch,0.438,GVSU women's soccer hosts Ramada Plaza Invitational to kick off NCAA Championship defense | Terps women's soccer team kicks off Big Ten competition with a win | Fourth-ranked GVSU women's soccer escapes with 3-2 win at Ferris State
2023-11,133,55.0,How to Watch,0.571,"Portland Thorns vs. Gotham FC score updates, live stream, odds, time, tv channel, how to watch online (11/5/23) | NWSL Playoffs: Semifinal picks, expert predictions, bracket, live stream, schedule, how to watch | From 'mess' to NWSL Championship contender: how Gotham FC's nightmare ended"
2013-10,60,54.0,How to Watch,0.667,New women's soccer league inks U.S. stars | Alexa Quaranta's overtime goal gives UMBC women's soccer team first America East win since 2010 | Quaranta scores winner for UMBC women's soccer
2017-04,65,53.0,Schedules & Power Rankings,0.369,"NWSL's Orlando Pride sign Brazilian star Marta | Marta's addition to the NWSL is a really big deal, both now and for the future of the league | Marta, Orlando Pride Agree to Contract After Free Transfer"
2024-03,112,50.0,Schedules & Power Rankings,0.402,Why Houston Dash games are a must-see event | Angel City FC’s Alyssa Thompson striving to improve in Year Two | Who should the USWNT call up? Ranking the NWSL players who deserve a look
2018-01,49,39.0,Coaching Updates & Controversies,0.327,Dash hire former NWSL head coach Lisa Cole as assistant | Washington Spirit trades Crystal Dunn’s rights to North Carolina for 2 starters | Why you should care about the NWSL College Draft
2021-01,67,37.0,Team/League Updates,0.313,"U.S. Women's Soccer Star Alex Morgan Recovering After COVID-19 Diagnosis | U.S. women's soccer star Alex Morgan tests positive for COVID-19 | Trinity Rodman, daughter of NBA legend Dennis Rodman, enters NWSL Draft"
2018-10,43,35.0,How to Watch,0.558,"Women's Soccer Falls in Tight Matchup | No. 4 Hope women's soccer edged by No. 14 Wheaton | USA vs. Mexico Women's Soccer: Start Time, Live Stream and Predictions"
2017-09,58,33.0,How to Watch,0.5,"Orlando Pride fired up to beat Portland Thorns, clinch playoff spot | Confident Orlando Pride push to extend win streak against Boston Breakers | Chioma Ubogagu moves Orlando Pride closer to a playoff spot"
2022-06,71,27.0,How to Watch,0.521,NWSL standings | Angel City FC begins busy stretch with trip to Portland | Column: K.C.-bound San Diego Wave will try to build on rare road success
2019-10,68,27.0,How to Watch,0.574,NWSL: Forward Sydney Leroux Plays For Orlando Pride 3 Months After Giving Birth | Orlando Pride midfielder Kristen Edmonds celebrates 100th cap before hometown crowd | Why is women's soccer staying away from America's biggest cities?
2020-09,67,25.0,How to Watch,0.582,"Orlando Pride to kick off NWSL Fall Series on road vs. North Carolina Courage | OL Reign to play nationally televised match Sept. 12 against rival Portland | Orlando Pride to face North Carolina, Houston twice in NWSL Fall Series"
2016-04,63,24.0,How to Watch,0.371,"Abby Wambach's DUI arrest could hurt women's soccer — and that's stupid | U.S. women's soccer star Wambach pleads innocent to drunk driving charge | USA vs. Colombia Women's Soccer Time, TV Info, Live Stream"
2014-04,33,24.0,Schedules & Power Rankings,0.455,Reign FC's roster finalized for NWSL season | All NWSL games this season to be streamed live on YouTube | Thorns seek to defend title in NWSL's 2nd year
